# llx_um	lly_um	urx_um	ury_um	voltage_V	layer	bterm — from OpenROAD ODB (dbBTerm/dbBPin/dbBox); µm
10.07	1085.77	236.31	1087.17	1.1	metal7	VDD
851.83	1085.77	1089.84	1087.17	1.1	metal7	VDD
10.07	1000.17	152.31	1001.57	1.1	metal7	VDD
10.07	17.77	320.31	19.17	1.1	metal7	VDD
879.83	17.77	1089.84	19.17	1.1	metal7	VDD
10.07	1078.9	1089.84	1080.3	1.1	metal7	VDD
10.07	1048.9	1089.84	1050.3	1.1	metal7	VDD
10.07	1018.9	1089.84	1020.3	1.1	metal7	VDD
10.07	988.9	1089.84	990.3	1.1	metal7	VDD
10.07	958.9	1089.84	960.3	1.1	metal7	VDD
10.07	928.9	1089.84	930.3	1.1	metal7	VDD
10.07	898.9	1089.84	900.3	1.1	metal7	VDD
10.07	868.9	1089.84	870.3	1.1	metal7	VDD
10.07	838.9	1089.84	840.3	1.1	metal7	VDD
10.07	808.9	1089.84	810.3	1.1	metal7	VDD
10.07	778.9	1089.84	780.3	1.1	metal7	VDD
10.07	748.9	1089.84	750.3	1.1	metal7	VDD
10.07	718.9	1089.84	720.3	1.1	metal7	VDD
10.07	688.9	1089.84	690.3	1.1	metal7	VDD
10.07	658.9	1089.84	660.3	1.1	metal7	VDD
10.07	628.9	1089.84	630.3	1.1	metal7	VDD
10.07	598.9	1089.84	600.3	1.1	metal7	VDD
10.07	568.9	1089.84	570.3	1.1	metal7	VDD
10.07	538.9	1089.84	540.3	1.1	metal7	VDD
10.07	508.9	1089.84	510.3	1.1	metal7	VDD
10.07	478.9	1089.84	480.3	1.1	metal7	VDD
10.07	448.9	1089.84	450.3	1.1	metal7	VDD
10.07	418.9	1089.84	420.3	1.1	metal7	VDD
10.07	388.9	1089.84	390.3	1.1	metal7	VDD
10.07	358.9	1089.84	360.3	1.1	metal7	VDD
10.07	328.9	1089.84	330.3	1.1	metal7	VDD
10.07	298.9	1089.84	300.3	1.1	metal7	VDD
10.07	268.9	1089.84	270.3	1.1	metal7	VDD
10.07	238.9	1089.84	240.3	1.1	metal7	VDD
10.07	208.9	1089.84	210.3	1.1	metal7	VDD
10.07	178.9	1089.84	180.3	1.1	metal7	VDD
10.07	148.9	1089.84	150.3	1.1	metal7	VDD
10.07	118.9	1089.84	120.3	1.1	metal7	VDD
10.07	88.9	1089.84	90.3	1.1	metal7	VDD
10.07	58.9	1089.84	60.3	1.1	metal7	VDD
10.07	28.9	1089.84	30.3	1.1	metal7	VDD
