name	layer	x_um	y_um	current_a
gen_tiles\[0\].i_tile/i_tile/gen_banks\[9\].mem_bank/genblk1.sram_instance#pg0	metal4	941.85	139.335	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[15\].mem_bank/genblk1.sram_instance#pg1	metal4	1040.51	139.335	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[2\].mem_bank/genblk1.sram_instance#pg2	metal4	158.06	1047.03	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[6\].mem_bank/genblk1.sram_instance#pg3	metal4	1040.51	1047.03	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[10\].mem_bank/genblk1.sram_instance#pg4	metal4	158.06	54.915	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[13\].mem_bank/genblk1.sram_instance#pg5	metal4	1040.51	951.685	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].mem_bank/genblk1.sram_instance#pg6	metal4	941.85	54.915	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[8\].mem_bank/genblk1.sram_instance#pg7	metal4	941.85	1047.03	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].mem_bank/genblk1.sram_instance#pg8	metal4	256.72	54.915	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[1\].mem_bank/genblk1.sram_instance#pg9	metal4	59.4	962.605	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance2#pg10	metal4	59.02	220.415	0.00168182
gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].mem_bank/genblk1.sram_instance#pg11	metal4	1040.51	223.615	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[14\].mem_bank/genblk1.sram_instance#pg12	metal4	1040.51	54.915	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[5\].mem_bank/genblk1.sram_instance#pg13	metal4	59.4	1047.03	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance0#pg14	metal4	156.92	138.235	0.00168182
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance1#pg15	metal4	59.02	138.235	0.00168182
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance3#pg16	metal4	156.92	220.415	0.00168182
gen_tiles\[0\].i_tile/i_tile/gen_banks\[3\].mem_bank/genblk1.sram_instance#pg17	metal4	1040.51	308.035	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[7\].mem_bank/genblk1.sram_instance#pg18	metal4	59.4	303.695	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[4\].mem_bank/genblk1.sram_instance#pg19	metal4	59.4	54.915	0.00141818
